run_index,stage,destination_layer,source_layer,source_offset,alpha,beta_mode,ramp_tokens,normalization_mode,mean_nll,perplexity,perplexity_reduction_percent,elapsed_seconds
97,fine_alpha,4,16,12,0.02,convex,,norm_matched,2.630717725464792,13.883731034332843,0.2259594517080956,68.02577723399986
98,fine_alpha,4,16,12,0.04,convex,,norm_matched,2.628811406774605,13.857289429442874,0.4159793931726626,68.08009616699997
99,fine_alpha,4,16,12,0.07,convex,,norm_matched,2.6254553981890076,13.810862195816906,0.7496240510018422,67.84646615499992
100,fine_alpha,4,16,12,0.1,convex,,norm_matched,2.6236152680388645,13.785471779890342,0.9320897284145231,68.5678661500001
101,fine_alpha,4,16,12,0.13,convex,,norm_matched,2.6219988754884005,13.76320704512404,1.0920930116729417,68.79533922199994
102,fine_alpha,4,16,12,0.16,convex,,norm_matched,2.621504254122051,13.75640115215882,1.14100287884049,68.1177190530002
103,fine_alpha,4,16,12,0.2,convex,,norm_matched,2.6205784479777017,13.74367128505186,1.2324847920065727,68.00432523400013
104,fine_alpha,4,16,12,0.25,convex,,norm_matched,2.622194522054081,13.76590003274347,1.0727401262509508,68.63603095000008
105,additive,4,16,12,0.2,additive,,norm_matched,2.6062418151344606,13.54803902072041,2.638376437825126,68.20966823299977
106,additive,6,18,12,0.16,additive,,norm_matched,2.614809368362874,13.664611222381133,1.8006420027126289,64.78345022200028
107,additive,6,16,10,0.16,additive,,norm_matched,2.6153104311676434,13.671459766438362,1.7514256277502347,64.6728719179996
108,ramp,4,16,12,0.2,convex,10,norm_matched,2.6226233975745132,13.77180515647522,1.030303546833114,68.29699506399993
109,identity_normalization,4,16,12,0.2,convex,,identity,2.610438520840769,13.60501562678761,2.228919773042791,67.88688973799981
