
Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]
Loading weights:  50%|████▉     | 144/290 [00:00<00:00, 1439.10it/s]
Loading weights: 100%|██████████| 290/290 [00:00<00:00, 1717.18it/s]
dense_full_trainable_parameters=494032768
step=2650/4000 loss=0.891736 grad_norm=798.271545
step=2675/4000 loss=0.000040 grad_norm=0.070812
step=2700/4000 loss=0.059506 grad_norm=304.498505
step=2725/4000 loss=0.849446 grad_norm=549.291138
step=2750/4000 loss=0.029242 grad_norm=74.433884
step=2775/4000 loss=0.103312 grad_norm=294.319946
step=2800/4000 loss=0.000434 grad_norm=1.285850
step=2825/4000 loss=0.015875 grad_norm=76.328453
step=2850/4000 loss=0.000003 grad_norm=0.004401
step=2875/4000 loss=0.000004 grad_norm=0.014829
step=2900/4000 loss=0.000093 grad_norm=0.555662
step=2925/4000 loss=0.000011 grad_norm=0.059961
step=2950/4000 loss=0.000002 grad_norm=0.003385
step=2975/4000 loss=0.079125 grad_norm=342.752197
step=3000/4000 loss=0.000406 grad_norm=1.479441
step=3025/4000 loss=0.176309 grad_norm=481.616608
step=3050/4000 loss=0.000002 grad_norm=0.001262
step=3075/4000 loss=0.000004 grad_norm=0.010658
step=3100/4000 loss=1.058028 grad_norm=2026.800659
step=3125/4000 loss=0.000004 grad_norm=0.011503
step=3150/4000 loss=0.000003 grad_norm=0.002405
step=3175/4000 loss=0.008455 grad_norm=31.768930
step=3200/4000 loss=0.000278 grad_norm=1.116352
step=3225/4000 loss=0.004437 grad_norm=35.331600
step=3250/4000 loss=3.171999 grad_norm=756.163086
step=3275/4000 loss=0.937587 grad_norm=891.673828
step=3300/4000 loss=0.837132 grad_norm=1666.832886
step=3325/4000 loss=0.844090 grad_norm=975.154114
step=3350/4000 loss=0.005376 grad_norm=69.625763
step=3375/4000 loss=0.000004 grad_norm=0.008929
step=3400/4000 loss=0.000002 grad_norm=0.005228
step=3425/4000 loss=3.546875 grad_norm=375.886566
step=3450/4000 loss=0.000000 grad_norm=0.000653
step=3475/4000 loss=0.020041 grad_norm=149.171921
step=3500/4000 loss=0.000001 grad_norm=0.000451
step=3525/4000 loss=0.000420 grad_norm=3.049612
step=3550/4000 loss=0.000058 grad_norm=0.244676
step=3575/4000 loss=0.000005 grad_norm=0.003385
step=3600/4000 loss=0.000031 grad_norm=0.108015
step=3625/4000 loss=0.000004 grad_norm=0.020183
step=3650/4000 loss=0.000140 grad_norm=0.469758
step=3675/4000 loss=0.000001 grad_norm=0.002159
step=3700/4000 loss=0.000158 grad_norm=0.670635
step=3725/4000 loss=0.020030 grad_norm=145.622757
step=3750/4000 loss=0.000001 grad_norm=0.000350
step=3775/4000 loss=0.001243 grad_norm=4.877409
step=3800/4000 loss=0.035524 grad_norm=222.415054
step=3825/4000 loss=0.000843 grad_norm=3.687732
step=3850/4000 loss=0.000009 grad_norm=0.034975
step=3875/4000 loss=0.000049 grad_norm=0.333092
step=3900/4000 loss=0.000010 grad_norm=0.017497
step=3925/4000 loss=0.000000 grad_norm=0.000157
step=3950/4000 loss=0.000001 grad_norm=0.002129
step=3975/4000 loss=0.000414 grad_norm=2.908141
step=4000/4000 loss=0.000002 grad_norm=0.001445

Writing model shards:   0%|          | 0/1 [00:00<?, ?it/s]
Writing model shards: 100%|██████████| 1/1 [00:06<00:00,  6.81s/it]
Writing model shards: 100%|██████████| 1/1 [00:06<00:00,  6.81s/it]
checkpoint_drive_backup=/content/drive/MyDrive/recurrent-qwen-svgd-checkpoints/stage5_phase_a_dense_full_bc_20260713/B/dense_full_step_4000
saved_checkpoint=outputs/stage5/stage5_phase_a_dense_full_bc_20260713/train/B/dense_full_step_4000
{
  "kind": "stage5_dense_full_training",
  "status": "finished",
  "optimizer": "adamw_full_fp32_state",
  "model_name": "Qwen/Qwen2.5-0.5B-Instruct",
  "revision": "7ae557604adf67be50417f59c2c2f167def9a775",
  "trainable_parameters": 494032768,
  "effective_batch_size": 8,
  "max_steps": 4000,
  "loss_trace": [
    {
      "step": 1,
      "loss": 2.870014652609825,
      "grad_norm": 230.4947052001953
    },
    {
      "step": 25,
      "loss": 2.337225705385208,
      "grad_norm": 201.81019592285156
    },
    {
      "step": 50,
      "loss": 2.106420396012254,
      "grad_norm": 112.81981658935547
    },
    {
      "step": 75,
      "loss": 1.875570789023186,
      "grad_norm": 112.55381774902344
    },
    {
      "step": 100,
      "loss": 1.9118180319783278,
      "grad_norm": 117.52923583984375
    },
    {
      "step": 125,
      "loss": 2.9015932828187943,
      "grad_norm": 162.4969024658203
    },
    {
      "step": 150,
      "loss": 1.331200715576415,
      "grad_norm": 91.62567901611328
    },
    {
      "step": 175,
      "loss": 1.7540076974546537,
      "grad_norm": 96.8586654663086
    },
    {
      "step": 200,
      "loss": 2.0580370422676424,
      "grad_norm": 102.1678466796875
    },
    {
      "step": 225,
      "loss": 2.079467596617178,
      "grad_norm": 121.34989166259766
    },
    {
      "step": 250,
